Date,Time,Away_Team,Home_Team,Away_Money_Line,Home_Money_Line,Away_Total,Home_Total,temp,DP,HUMID,Baro,M,N,O,P,Q,R,Total_Hits,Total_Walks,Total_Walks_Hits,Total_Bases,Away_Inning_1,h9,h8,h7,h6,h5,h4,h3,h2,h1,Home_Inning_1,a9,a8,a7,a6,a5,a4,A3,A2,A1,AQ,home_runs,stolen_bases,Away_Starter_Last_Name,Away_Starter_Handedness,Home_Starter_First_Name,Home_Starter_Last_Name,Home_Starter_Handedness,LD_PA,GB_PA,FB_PA,SO_PA,LD_BABIP,GB_BABIP,FB_BABIP,BF
4/14/2016,1:00 PM,Giants,Rockies,103,-111,11.5 -117,11.5 +106,70,26.1,19,29.62,WSW,8.1,1.1853,20.25,2.25,22.5,14,20,5,25,40,0,2,0,0,9,0,0,0,0,\N,0,2,3,0,0,1,0,0,0,,2,,,,,,,,,,,,,,
5/11/2016,1:00 PM,Diamondbacks,Rockies,115,-125,10.5 -105,10.5 -105,55.9,34,44,30.1,East,16.1,1.2367,11.25,0,11.25,15,27,3,30,49,0,1,0,2,0,3,2,0,0,\N,0,3,3,1,0,0,0,0,0,,2,,,,,,,,,,,,,,
5/10/2016,6:00 PM,Diamondbacks,Rockies,114,-123,10.5 -103,10.5 -107,51.1,41,68,29.9,East,16.1,1.239,0,0,0,5,18,3,21,28,0,1,0,0,0,0,0,0,0,\N,0,0,1,4,0,0,0,0,0,,1,,,,,,,,,,,,,,
4/23/2016,6:00 PM,Dodgers,Rockies,-116,107,11 -116,11 +105,66.9,28,23,29.65,WSW,34.5,1.1933,0,4.5,4.5,5,16,4,20,26,0,0,1,0,0,0,0,0,0,\N,0,0,0,1,0,0,0,2,1,,1,,,,,,,,,,,,,,
4/22/2016,6:00 PM,Dodgers,Rockies,-128,118,11 -110,11 +100,70,35.1,28,29.81,South,8.1,1.192,9,4.5,13.5,12,17,7,24,42,0,2,1,0,0,3,0,1,0,\N,0,0,0,0,2,0,0,0,3,,4,,,,,,,,,,,,,,
5/15/2016,2:00 PM,Mets,Rockies,-119,110,10 -131,10 +119,57.9,39.9,51,29.82,NNE,8.1,1.2196,2.25,6.75,9,7,14,7,21,35,0,0,2,1,0,0,0,1,0,\N,0,0,0,0,0,0,2,1,0,,3,,,,,,,,,,,,,,
5/13/2016,6:00 PM,Mets,Rockies,-113,104,10 -119,10 +108,55,39,55,30.22,ENE,9.2,1.2431,6.75,4.5,11.25,7,18,3,21,33,0,0,0,2,1,2,0,0,0,\N,0,0,0,0,0,0,0,2,0,,0,,,,,,,,,,,,,,
4/27/2016,6:00 PM,Pirates,Rockies,108,-117,10.5 -118,10.5 +107,48.9,30,48,29.78,East,12.7,1.2408,9,2.25,11.25,17,33,8,41,69,0,0,0,0,1,2,1,0,4,0,1,0,0,0,0,1,0,0,3,,5,,,,,,,,,,,,,,
5/9/2016,6:00 PM,Diamondbacks,Rockies,148,-161,11 +111,11 -123,60.1,33.1,36,29.61,NNW,4.6,1.2068,6.75,11.25,18,15,25,8,33,52,1,0,0,0,0,3,0,0,1,\N,2,0,2,0,5,0,0,0,1,,2,,,,,,,,,,,,,,
5/14/2016,6:00 PM,Mets,Rockies,-131,121,11.5 -102,11.5 -108,48.9,37.9,66,30.15,North,11.5,1.2553,13.5,4.5,18,11,25,5,30,39,0,0,0,0,0,0,5,1,1,\N,0,0,0,2,0,1,0,1,0,,1,,,,,,,,,,,,,,
4/26/2016,6:00 PM,Pirates,Rockies,-160,147,9.5 +103,9.5 -114,39,34,82,29.78,WSW,5.8,1.265,6.75,2.25,9,9,20,8,28,48,0,0,0,1,1,1,0,1,0,\N,1,0,0,4,0,0,0,1,3,,6,,,,,,,,,,,,,,
4/25/2016,6:00 PM,Pirates,Rockies,126,-137,12 +107,12 -118,63,34,34,29.45,SSE,18.4,1.1935,0,2.25,2.25,7,18,6,24,33,0,0,1,0,0,0,0,0,0,\N,0,1,4,0,1,0,0,0,0,,1,,,,,,,,,,,,,,
4/24/2016,2:00 PM,Dodgers,Rockies,-127,117,11 -107,11 -103,61,23,23,29.6,North,5.8,1.2053,9,15.75,24.75,22,22,19,41,54,0,5,0,1,0,3,0,1,0,\N,5,0,0,0,0,0,3,4,0,,1,,,,,,,,,,,,,,
4/10/2016,2:00 PM,Padres,Rockies,121,-131,11 -122,11 +111,63,28,27,29.71,NNE,6.9,1.2047,2.25,4.5,6.75,9,17,5,22,42,0,2,1,0,1,0,0,0,2,\N,0,1,0,0,0,0,1,1,0,,5,,,,,,,,,,,,,,
4/12/2016,6:00 PM,Giants,Rockies,104,-113,11 -114,11 +103,57.9,37,46,30.07,SW,10.4,1.2303,4.5,6.75,11.25,9,20,3,23,37,0,0,0,0,1,0,0,1,0,\N,0,2,0,2,2,0,1,0,0,,3,,,,,,,,,,,,,,
4/8/2016,2:00 PM,Padres,Rockies,134,-145,11 -114,11 +103,61,24.1,24,30.12,NNW,6.9,1.2264,11.25,20.25,31.5,19,27,13,40,63,1,0,0,0,0,3,0,2,0,\N,2,0,0,2,3,6,0,0,0,,4,,,,,,,,,,,,,,
7/7/2015,6:00 PM,Angels,Rockies,-109,101,10.5 +109,10.5 -120,59,57,93,30.12,South,5.8,1.2259,2.25,15.75,18,12,20,4,24,41,0,0,0,1,0,0,1,0,0,\N,0,0,0,0,0,0,2,5,3,,5,,,,,,,,,,,,,,
7/8/2015,6:00 PM,Angels,Rockies,-124,115,10.5 +111,10.5 -123,57,55,93,30,North,10.4,1.2262,4.5,0,4.5,5,22,7,29,40,0,0,0,0,0,2,0,0,0,\N,1,0,0,1,0,0,0,0,1,,2,,,,,,,,,,,,,,
6/17/2015,6:00 PM,Astros,Rockies,-104,-104,10.5 -117,10.5 +106,68,55.9,65,29.94,South,15,1.198,4.5,4.5,9,12,22,4,26,48,1,0,1,0,0,2,0,0,0,\N,2,0,0,2,1,0,0,1,2,,5,,,,,,,,,,,,,,
